Adresse: 10.0.0.0 | Classe: Classe A
Adresse: 192.234.76.8 | Classe: Classe C
Adresse: 192.168.10.1 | Classe: Classe C
Adresse: 10.0.0.0 | Classe: Classe A
Adresse: 10.0.0.1 | Classe: Classe A
Adresse: 10.0.0.1 | Classe: Classe A
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 10.0.0.1 | Classe: Classe A
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 10.0.0.1 | Classe: Classe A
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 10.0.0.1 | Classe: Classe A
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 10.0.0.1 | Classe: Classe A
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 192.168.1.1 | Classe: Classe C
Adresse: 10.0.0.1 | Classe: Classe A
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 192.168.1.1 | Classe: Classe C
Adresse: 192.168.1.1 | Classe: Classe C
Adresse: 10.0.0.1 | Classe: Classe A
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 172.16.0.1 | Classe: Classe B
Adresse: 192.168.1.1 | Classe: Classe C
Adresse: 192.168.1.1 | Classe: Classe C
Adresse: 192.168.1.1 | Classe: Classe C
